Gene,Non-unique Gene name,Annotation,GCA_000024945.1,GCA_002005185.1,GCA_002082765.1,GCA_013393365.1,GCA_016127175.1,GCA_018406505.1,GCA_028743475.1,GCA_031190775.1,GCA_032695835.1,GCA_036456085.1,GCA_042850485.1,GCA_900186885.1,GCA_900187285.1,GCA_900637515.1,GCA_902810435.1
group_1572,,hypothetical protein,,GFDNPGNJ_00657,,,,,,PDIMPFPI_00036,,HCNBPFHJ_01667,BBFLPEJG_00090,,ICLGGANE_00104,,
fbiB_1~~~bluB~~~fbiB_3,fbiB_1;bluB;fbiB_3,Coenzyme F420:L-glutamate ligase;56-dimethylbenzimidazole synthase,,GFDNPGNJ_01028,,,,,,PDIMPFPI_00346,,HCNBPFHJ_01970,BBFLPEJG_00395,,ICLGGANE_00401,,
group_1494,,hypothetical protein,OKNGDJCJ_01457,,,,KOCEJNFM_00392,,,PDIMPFPI_01435,,HCNBPFHJ_01031,,AEMNHECO_01457,,,
yhaI_3~~~yhaH_5,yhaI_3;;yhaH_5,Inner membrane protein YhaI;hypothetical protein;Inner membrane protein YhaH,,,,,,,GCKDAGAE_01831,PDIMPFPI_00134,,HCNBPFHJ_01762,BBFLPEJG_00178,,,,LAOJDNKF_00185
pduU,pduU,Propanediol utilization protein PduU,,,,AMGBDAFE_01653,,POEAOIBB_01650,GCKDAGAE_01313,,,,BBFLPEJG_01688,,,PAGOGBDJ_01733,
group_1451,,hypothetical protein,,GFDNPGNJ_01799,,,,,GCKDAGAE_00363,PDIMPFPI_00652,,HCNBPFHJ_00287,,,,PAGOGBDJ_00722,
group_1424,,hypothetical protein,,GFDNPGNJ_00363,,,,,GCKDAGAE_01392,,AGBEICAE_00918,,BBFLPEJG_01764,,,,LAOJDNKF_01781
dxs_1~~~dxs_2,dxs_1;dxs_2,1-deoxy-D-xylulose-5-phosphate synthase,,,,AMGBDAFE_00335,,POEAOIBB_00321,,,,HCNBPFHJ_01925,,,ICLGGANE_00358,PAGOGBDJ_00318,
group_1348,,hypothetical protein,,,BFBCFGIC_01659,AMGBDAFE_01667,,POEAOIBB_01664,,,AGBEICAE_00844,,,,,,LAOJDNKF_01724
group_1329,,hypothetical protein,,,BFBCFGIC_00162,AMGBDAFE_00171,,POEAOIBB_00168,,,AGBEICAE_01233,,,,,PAGOGBDJ_00170,
group_1323,,hypothetical protein,,GFDNPGNJ_00717,,AMGBDAFE_00129,,POEAOIBB_00128,GCKDAGAE_01796,,,,,,,PAGOGBDJ_00132,
group_1271,,putative HTH-type transcriptional regulator,,,,AMGBDAFE_00334,,POEAOIBB_00320,,,,HCNBPFHJ_01924,,,ICLGGANE_00357,PAGOGBDJ_00317,
group_1261,,hypothetical protein,,,,AMGBDAFE_00119,,,,,AGBEICAE_01329,,BBFLPEJG_00125,,,PAGOGBDJ_00113,LAOJDNKF_00122
hpnP,hpnP,Hopanoid C-2 methylase,,,BFBCFGIC_00708,,,POEAOIBB_01112,,,AGBEICAE_00242,HCNBPFHJ_00715,,,,PAGOGBDJ_01191,
group_1053,,hypothetical protein,,,BFBCFGIC_01682,AMGBDAFE_01691,,POEAOIBB_01689,GCKDAGAE_01355,,,,,,,PAGOGBDJ_01770,
group_980,,hypothetical protein,,,BFBCFGIC_01770,AMGBDAFE_01805,,POEAOIBB_01793,,PDIMPFPI_01810,,,,,ICLGGANE_01784,,
group_951,,hypothetical protein,OKNGDJCJ_00971,,,AMGBDAFE_00901,KOCEJNFM_00878,POEAOIBB_00713,,,,,,AEMNHECO_00971,,,
pimA,pimA,Phosphatidyl-myo-inositol mannosyltransferase,,GFDNPGNJ_00595,,AMGBDAFE_00020,,POEAOIBB_00022,,,,,BBFLPEJG_00018,,,PAGOGBDJ_00019,
group_858,,hypothetical protein,,,BFBCFGIC_00714,AMGBDAFE_01099,,POEAOIBB_01107,,,AGBEICAE_00237,,BBFLPEJG_00735,,,,
group_794,,hypothetical protein,OKNGDJCJ_00965,,,,KOCEJNFM_00884,POEAOIBB_00704,GCKDAGAE_00589,,,,,AEMNHECO_00965,,,
yhaI_1~~~yhaH~~~yhaI_2~~~yhaI,yhaI_1;yhaH;yhaI_2;yhaI,Inner membrane protein YhaI;Inner membrane protein YhaH,,,BFBCFGIC_01753,,,POEAOIBB_01773,GCKDAGAE_01476,,AGBEICAE_00957,,,,,PAGOGBDJ_01836,
adhE,adhE,Aldehyde-alcohol dehydrogenase,,,,AMGBDAFE_01641,,POEAOIBB_01638,GCKDAGAE_01300,,,,BBFLPEJG_01675,,,PAGOGBDJ_01720,
group_690,,hypothetical protein,,GFDNPGNJ_00692,,,,,,PDIMPFPI_00074,,HCNBPFHJ_01700,,,,PAGOGBDJ_00109,LAOJDNKF_00117
group_647,,hypothetical protein,OKNGDJCJ_00114,,,,KOCEJNFM_01735,POEAOIBB_00104,,,,,BBFLPEJG_00121,AEMNHECO_00114,,,
hicB,;hicB,hypothetical protein;Antitoxin HicB,OKNGDJCJ_01788,,,,KOCEJNFM_00062,,,PDIMPFPI_01827,AGBEICAE_00991,,,AEMNHECO_01787,,,
group_558,arnT_1;arnT_2,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,,,,AMGBDAFE_01511,,POEAOIBB_01529,GCKDAGAE_01191,,,,,,ICLGGANE_01580,PAGOGBDJ_01604,
sucD,sucD,Succinate-semialdehyde dehydrogenase (acetylating),,,,AMGBDAFE_01642,,POEAOIBB_01639,GCKDAGAE_01301,,,,BBFLPEJG_01676,,,PAGOGBDJ_01721,
group_448,,hypothetical protein,,,BFBCFGIC_01488,AMGBDAFE_01465,,POEAOIBB_01483,,,AGBEICAE_00681,,,,,PAGOGBDJ_01558,
group_445,,hypothetical protein,,,,AMGBDAFE_01656,,POEAOIBB_01653,GCKDAGAE_01316,,,,BBFLPEJG_01691,,,PAGOGBDJ_01736,
uppP_2~~~uppP~~~uppP_1,uppP_2;uppP;uppP_1,Undecaprenyl-diphosphatase,,,BFBCFGIC_01550,AMGBDAFE_01527,,POEAOIBB_01545,,,AGBEICAE_00744,,,,,PAGOGBDJ_01620;PAGOGBDJ_01619,
pduC,pduC,Propanediol dehydratase large subunit,,,,AMGBDAFE_01660,,POEAOIBB_01657,GCKDAGAE_01320,,,,BBFLPEJG_01695,,,PAGOGBDJ_01740,
ddrA,ddrA,Diol dehydratase-reactivating factor alpha subunit,,,,AMGBDAFE_01657,,POEAOIBB_01654,GCKDAGAE_01317,,,,BBFLPEJG_01692,,,PAGOGBDJ_01737,
ccmL,ccmL,Carbon dioxide concentrating mechanism protein CcmL,,,,AMGBDAFE_01643,,POEAOIBB_01640,GCKDAGAE_01302,,,,BBFLPEJG_01677,,,PAGOGBDJ_01722,
qacC,qacC,Quaternary ammonium compound-resistance protein QacC,,,BFBCFGIC_00154,AMGBDAFE_00097,,POEAOIBB_00089,GCKDAGAE_01757,,,,,,,PAGOGBDJ_00087,
group_255,,hypothetical protein,OKNGDJCJ_00464,,,,KOCEJNFM_01385,,,,,HCNBPFHJ_02023,BBFLPEJG_00448,AEMNHECO_00464,,,
group_216,,hypothetical protein,,,,AMGBDAFE_00686,,POEAOIBB_00934,GCKDAGAE_00358,,AGBEICAE_01893,,,,,PAGOGBDJ_00718,
group_186,,hypothetical protein,,,BFBCFGIC_01489,AMGBDAFE_01466,,POEAOIBB_01484,,,AGBEICAE_00682,,,,,PAGOGBDJ_01559,
cobO_2,cobO_2,Cobalamin adenosyltransferase,,,,AMGBDAFE_01655,,POEAOIBB_01652,GCKDAGAE_01315,,,,BBFLPEJG_01690,,,PAGOGBDJ_01735,
group_154,,hypothetical protein,OKNGDJCJ_01454,GFDNPGNJ_00053,,,KOCEJNFM_00395,,,PDIMPFPI_01432,,,,AEMNHECO_01454,,,
cobT_3,cobT_3,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,,,,AMGBDAFE_01651,,POEAOIBB_01648,GCKDAGAE_01311,,,,BBFLPEJG_01686,,,PAGOGBDJ_01731,
pduB_1,pduB_1,Propanediol utilization protein PduB,,,,AMGBDAFE_01649,,POEAOIBB_01646,GCKDAGAE_01309,,,,BBFLPEJG_01684,,,PAGOGBDJ_01729,
pduD,pduD,Propanediol dehydratase medium subunit,,,,AMGBDAFE_01659,,POEAOIBB_01656,GCKDAGAE_01319,,,,BBFLPEJG_01694,,,PAGOGBDJ_01739,
pduB_2,pduB_2,Propanediol utilization protein PduB,,,,AMGBDAFE_01661,,POEAOIBB_01658,GCKDAGAE_01321,,,,BBFLPEJG_01696,,,PAGOGBDJ_01741,
pduV,pduV,Propanediol utilization protein PduV,,,,AMGBDAFE_01652,,POEAOIBB_01649,GCKDAGAE_01312,,,,BBFLPEJG_01687,,,PAGOGBDJ_01732,
glpF,glpF,Glycerol uptake facilitator protein,,,,AMGBDAFE_01654,,POEAOIBB_01651,GCKDAGAE_01314,,,,BBFLPEJG_01689,,,PAGOGBDJ_01734,
vapB2,vapB2,Antitoxin VapB2,,,,AMGBDAFE_01945,,POEAOIBB_01921,GCKDAGAE_01647,,,,,,,PAGOGBDJ_01990,
group_2746,,putative protein,OKNGDJCJ_00018,,,,KOCEJNFM_01831,,,,,,,AEMNHECO_00018,,,LAOJDNKF_00018
group_2734,,hypothetical protein,,GFDNPGNJ_01625,,,,POEAOIBB_00754,,,,,BBFLPEJG_00978,,,,LAOJDNKF_00955
group_2710,yhaI_2,Inner membrane protein YhaI,OKNGDJCJ_01161,,,,KOCEJNFM_00688,,,,,,,AEMNHECO_01161,,,LAOJDNKF_00805
group_2677,cas2,CRISPR-associated endoribonuclease Cas2,OKNGDJCJ_01882,GFDNPGNJ_00531,,,KOCEJNFM_01892,,,,,,,AEMNHECO_01881,,,
group_2666,,hypothetical protein,,,BFBCFGIC_01457,AMGBDAFE_01431,,,,,AGBEICAE_00637,,,,,PAGOGBDJ_01524,
group_2660,,hypothetical protein,,,,AMGBDAFE_01674,,POEAOIBB_01671,GCKDAGAE_01338,,,,,,,PAGOGBDJ_01754,
group_2637,,hypothetical protein,OKNGDJCJ_00161,,,,KOCEJNFM_01688,,,,,,BBFLPEJG_00167,AEMNHECO_00161,,,
htpX_2,htpX_2,Protease HtpX,,,,,,POEAOIBB_01832,,PDIMPFPI_01850,,HCNBPFHJ_01477,,,,,LAOJDNKF_01882
group_2601,,hypothetical protein,,GFDNPGNJ_00547,,,,,,PDIMPFPI_01919,,HCNBPFHJ_01546,,,,,LAOJDNKF_01945
group_2571,,hypothetical protein,,,,,,POEAOIBB_01417,,,,HCNBPFHJ_01018,,,,PAGOGBDJ_01490,LAOJDNKF_01513
group_2567,,hypothetical protein,OKNGDJCJ_01878,GFDNPGNJ_00527,,,KOCEJNFM_01896,,,,,,,AEMNHECO_01877,,,
group_2566,,hypothetical protein,OKNGDJCJ_01880,GFDNPGNJ_00529,,,KOCEJNFM_01894,,,,,,,AEMNHECO_01879,,,
vapC,vapC,tRNA(fMet)-specific endonuclease VapC,,,,AMGBDAFE_01946,,POEAOIBB_01922,GCKDAGAE_01648,,,,,,,PAGOGBDJ_01991,
group_2537,,hypothetical protein,OKNGDJCJ_00187,,,,KOCEJNFM_01662,,,,,,BBFLPEJG_00187,AEMNHECO_00187,,,
group_2519,,hypothetical protein,OKNGDJCJ_01163,,,,KOCEJNFM_00686,,,,,,,AEMNHECO_01163,,,LAOJDNKF_00804
ytbE,ytbE,putative oxidoreductase YtbE,OKNGDJCJ_00184,,,,KOCEJNFM_01665,,,,,,,AEMNHECO_00184,ICLGGANE_00204,,
group_2456,,hypothetical protein,,,,AMGBDAFE_01410,,POEAOIBB_01586,GCKDAGAE_01718,,,,,,,,LAOJDNKF_01418
group_2454,,hypothetical protein,,,,AMGBDAFE_01068,,,GCKDAGAE_00796,,,HCNBPFHJ_00656,,,,,LAOJDNKF_01490
group_2333,,hypothetical protein,OKNGDJCJ_00550,,,,KOCEJNFM_01299,,,,,,,AEMNHECO_00550,,,LAOJDNKF_01411
group_2304,,hypothetical protein,OKNGDJCJ_01884,GFDNPGNJ_00535,,,KOCEJNFM_01890,,,,,,,AEMNHECO_01883,,,
group_2134,,hypothetical protein,OKNGDJCJ_00267,GFDNPGNJ_00837,,,KOCEJNFM_01582,,,,,,,AEMNHECO_00267,,,
group_2105,epsJ,putative glycosyltransferase EpsJ,OKNGDJCJ_00016,,,,KOCEJNFM_01833,,,,,,,AEMNHECO_00016,,,LAOJDNKF_00016
doc,doc,Toxin Doc,,,BFBCFGIC_00471,AMGBDAFE_00438,,,,,AGBEICAE_01618,,,,,PAGOGBDJ_00424,
carA_2~~~carA_1,carA_2;carA_1,Carbamoyl-phosphate synthase small chain,,,BFBCFGIC_00481,,,POEAOIBB_00449,,,AGBEICAE_01632,,,,,PAGOGBDJ_00434,
group_2012,,hypothetical protein,OKNGDJCJ_00743,,,,KOCEJNFM_01106,,,PDIMPFPI_01136,,,,AEMNHECO_00743,,,
group_1971,,putative type I restriction enzymeP M protein,,,,,,,GCKDAGAE_00348,PDIMPFPI_00640,AGBEICAE_01877,HCNBPFHJ_00273,,,,,
group_1968,,hypothetical protein,,,,AMGBDAFE_01411,,POEAOIBB_01428,,,AGBEICAE_00617,,,,,PAGOGBDJ_01501,
hhaIM~~~hhaIM_2,hhaIM;hhaIM_2,Modification methylase HhaI,,,,AMGBDAFE_01595,,POEAOIBB_01592,,,AGBEICAE_00792,,,,,PAGOGBDJ_01672,
cdiA_3~~~cdiA_2,cdiA_3;cdiA_2,DNase CdiA;Toxin CdiA,OKNGDJCJ_01453,,BFBCFGIC_01434,,KOCEJNFM_00396,,,,,,,AEMNHECO_01453,,,
group_1940,,hypothetical protein,,,BFBCFGIC_01731,AMGBDAFE_01383,,POEAOIBB_01395,GCKDAGAE_01064,,,,,,,,
group_1935,,putative protein,,,,AMGBDAFE_01917,,,GCKDAGAE_01617,,,,BBFLPEJG_01918,,,PAGOGBDJ_01966,
group_1929,hsdR;hsdR_2,Type-1 restriction enzyme R protein,,,,,,,GCKDAGAE_00346,PDIMPFPI_00636,AGBEICAE_01875,HCNBPFHJ_00271,,,,,
group_1913,,hypothetical protein,,GFDNPGNJ_00365,,,,,,,AGBEICAE_00921,,BBFLPEJG_01766,,,,LAOJDNKF_01783
group_1908,xre;,HTH-type transcriptional regulator Xre;hypothetical protein,OKNGDJCJ_00391,GFDNPGNJ_01019,,,KOCEJNFM_01458,,,,,,,AEMNHECO_00391,,,
group_1906,,hypothetical protein,,,,,,,GCKDAGAE_00345,PDIMPFPI_00635,AGBEICAE_01874,HCNBPFHJ_00270,,,,,
group_1901,,hypothetical protein,,,,AMGBDAFE_01415,,POEAOIBB_01427,GCKDAGAE_01095,,AGBEICAE_00613,,,,,,
group_1899,,hypothetical protein,,,BFBCFGIC_01432,,,,GCKDAGAE_01093,,,,,,,PAGOGBDJ_01505,LAOJDNKF_01524
group_1896,,hypothetical protein;putative type I restriction enzymeP M protein,OKNGDJCJ_00120,,,,KOCEJNFM_01729,,GCKDAGAE_01774,,,,,AEMNHECO_00120,,,
group_1892,,hypothetical protein,,,BFBCFGIC_00695,AMGBDAFE_01116,,POEAOIBB_01126,,,,,,,,PAGOGBDJ_01205;PAGOGBDJ_01204,
group_1877,,hypothetical protein,,,,AMGBDAFE_01744,,POEAOIBB_01746,GCKDAGAE_01413,,,,,,,PAGOGBDJ_01822,
group_1875,,hypothetical protein,,,,AMGBDAFE_01107,,POEAOIBB_01080,GCKDAGAE_00802;GCKDAGAE_00801,,,,,,,PAGOGBDJ_01774,
group_1873,,hypothetical protein,,,,AMGBDAFE_01108,,POEAOIBB_01079,GCKDAGAE_00803,,,,,,,PAGOGBDJ_01773,
group_1872,,hypothetical protein,,GFDNPGNJ_00364,,,,,,,AGBEICAE_00923,,BBFLPEJG_01765,,,,LAOJDNKF_01782
group_1856,;ydjA,hypothetical protein;Type-2 restriction enzyme BsuMI component YdjA,,GFDNPGNJ_01805,BFBCFGIC_01163,AMGBDAFE_00682,,,,,AGBEICAE_01885,,,,,,
glnB,glnB,Nitrogen regulatory protein P-II,,,BFBCFGIC_00267,,,POEAOIBB_00126,,,AGBEICAE_01350,,,,ICLGGANE_00144,,
nrgA,nrgA,Ammonium transporter,,,BFBCFGIC_00266,,,POEAOIBB_00125,,,AGBEICAE_01349,,,,ICLGGANE_00143,,
group_1704,,hypothetical protein,,,,,,POEAOIBB_00943,GCKDAGAE_00342,,,,,,ICLGGANE_01229,PAGOGBDJ_00708,
group_1685,,hypothetical protein,,,,AMGBDAFE_00239,,POEAOIBB_00236,GCKDAGAE_01902,,,,,,,PAGOGBDJ_00233,
group_1674,,hypothetical protein,OKNGDJCJ_01193,,,,KOCEJNFM_00656,,,,,,,AEMNHECO_01193,ICLGGANE_01231,,
group_1660,,hypothetical protein,OKNGDJCJ_00191,,,,KOCEJNFM_01658,,,,,HCNBPFHJ_01773,,AEMNHECO_00191,,,
group_1637,,hypothetical protein,,,,AMGBDAFE_00236,,POEAOIBB_00233,GCKDAGAE_01899,,,,,,,PAGOGBDJ_00230,
group_1617,,hypothetical protein,,GFDNPGNJ_00447,,,,,GCKDAGAE_01522,,,,BBFLPEJG_01851,,,,LAOJDNKF_01864
group_1579,,hypothetical protein,OKNGDJCJ_01349,,,,KOCEJNFM_00500,,,,AGBEICAE_01695,,,AEMNHECO_01349,,,
group_1430,,hypothetical protein,OKNGDJCJ_00128,GFDNPGNJ_00705,,,KOCEJNFM_01721,,,,,,,AEMNHECO_00128,,,
group_1427,,hypothetical protein,OKNGDJCJ_00043,,,,KOCEJNFM_01806,,,,,,,AEMNHECO_00043,ICLGGANE_00049,,
group_1426,,hypothetical protein,,GFDNPGNJ_01618,,,,,,,,HCNBPFHJ_00469,BBFLPEJG_00971,,,,LAOJDNKF_00961
group_1406,,hypothetical protein,,,BFBCFGIC_01287,AMGBDAFE_00547,,,GCKDAGAE_00218,,AGBEICAE_01739,,,,,,
group_1395,,hypothetical protein,,,,AMGBDAFE_01115,,,,PDIMPFPI_01144,,,,,,PAGOGBDJ_01203,LAOJDNKF_01226
group_1393,,hypothetical protein,,,,,,POEAOIBB_01724,,,AGBEICAE_01212,,,,ICLGGANE_00102,PAGOGBDJ_00039,
group_1355,,hypothetical protein,,,,AMGBDAFE_00086,,POEAOIBB_00081,,,,,,,,PAGOGBDJ_00077,LAOJDNKF_00088
group_1351,,hypothetical protein,,,,,,,GCKDAGAE_00545,PDIMPFPI_00832,,HCNBPFHJ_00467,,,,,LAOJDNKF_00960
group_1347,,hypothetical protein,,,,AMGBDAFE_01748,,POEAOIBB_01748,GCKDAGAE_01424,PDIMPFPI_01715,,,,,,,
group_1334,,hypothetical protein,,,,AMGBDAFE_00041,,POEAOIBB_00044,GCKDAGAE_01709,,,,,,,PAGOGBDJ_00040,
group_1328,,hypothetical protein,,,,AMGBDAFE_01749,,POEAOIBB_01750;POEAOIBB_01749,GCKDAGAE_01425,PDIMPFPI_01716,,,,,,,
group_1322,,hypothetical protein,OKNGDJCJ_01004,,,,KOCEJNFM_00845,,GCKDAGAE_00549,,,,,AEMNHECO_01004,,,
group_1319,,hypothetical protein,,,,AMGBDAFE_00052,,POEAOIBB_00055,GCKDAGAE_01723,,,,,,,PAGOGBDJ_00052,
upaG_3~~~ehaG_1~~~upaG_2,;upaG_3;ehaG_1;upaG_2,hypothetical protein;Autotransporter adhesin UpaG;Autotransporter adhesin EhaG,,,,AMGBDAFE_00446,,POEAOIBB_00447,GCKDAGAE_00112,,,,,,,PAGOGBDJ_00432,
group_1285,,hypothetical protein,,GFDNPGNJ_00741,,,,POEAOIBB_00150,,PDIMPFPI_00122,,,,,,PAGOGBDJ_00156,
group_1275,,hypothetical protein,OKNGDJCJ_01162,GFDNPGNJ_01777,,,KOCEJNFM_00687,,,,,,,AEMNHECO_01162,,,
group_1274,,hypothetical protein,,,,AMGBDAFE_01755,,POEAOIBB_01754,GCKDAGAE_01436,,,HCNBPFHJ_01307,,,,,
group_1259,,hypothetical protein,OKNGDJCJ_00039,,,,KOCEJNFM_01810,,,,,,BBFLPEJG_00035,AEMNHECO_00039,,,
group_1255,,hypothetical protein,OKNGDJCJ_00044,,,,KOCEJNFM_01805,,,,,,,AEMNHECO_00044,ICLGGANE_00050;ICLGGANE_00054,,
group_1240,,hypothetical protein,,GFDNPGNJ_00362,,,,,,,AGBEICAE_00917,,BBFLPEJG_01762;BBFLPEJG_01763,,,,LAOJDNKF_01780;LAOJDNKF_01779
group_1234,,hypothetical protein,,,,AMGBDAFE_00170,,POEAOIBB_00167,,,AGBEICAE_01232,,,,,PAGOGBDJ_00169,
group_1229,,hypothetical protein,OKNGDJCJ_00189,,,,KOCEJNFM_01660,,,,,,BBFLPEJG_00189,AEMNHECO_00189,,,
group_1217,,hypothetical protein,OKNGDJCJ_01883,GFDNPGNJ_00532,,,KOCEJNFM_01891,,,,,,,AEMNHECO_01882,,,
group_1180,,Adenosine monophosphate-protein transferase NmFic,,,,AMGBDAFE_00231,,POEAOIBB_00228,GCKDAGAE_01893,,,,,,,PAGOGBDJ_00225,
group_1169,,hypothetical protein,,,,AMGBDAFE_00378,,POEAOIBB_00366,GCKDAGAE_00034,,,,,,,PAGOGBDJ_00361,
group_1131,,hypothetical protein,OKNGDJCJ_00465,,,,KOCEJNFM_01384,,,,,HCNBPFHJ_02024,,AEMNHECO_00465,,,
group_1091,,hypothetical protein,OKNGDJCJ_01869,GFDNPGNJ_00518,,,KOCEJNFM_01905,,,,,,,AEMNHECO_01868,,,
group_1065,,hypothetical protein,,,,AMGBDAFE_00464,,POEAOIBB_00467,GCKDAGAE_00134,,,,,,,PAGOGBDJ_00452,
group_1049,,hypothetical protein,OKNGDJCJ_00046,,,,KOCEJNFM_01803,,,,,,,AEMNHECO_00046,ICLGGANE_00052,,
group_1042,,hypothetical protein,OKNGDJCJ_01870,GFDNPGNJ_00519,,,KOCEJNFM_01904,,,,,,,AEMNHECO_01869,,,
dprA_1~~~dprA_2,dprA_1;dprA_2,DNA processing protein DprA,OKNGDJCJ_01871,GFDNPGNJ_00520,,,KOCEJNFM_01903,,,,,,,AEMNHECO_01870,,,
group_921,,hypothetical protein,OKNGDJCJ_01872,GFDNPGNJ_00521,,,KOCEJNFM_01902,,,,,,,AEMNHECO_01871,,,
haeIIIM,haeIIIM,Modification methylase HaeIII,OKNGDJCJ_00188,,,,KOCEJNFM_01661,,,,,,BBFLPEJG_00188,AEMNHECO_00188,,,
group_886,,hypothetical protein,,,BFBCFGIC_00411,AMGBDAFE_00374,,POEAOIBB_00362,,,AGBEICAE_01504,,,,,,
dcuD_1~~~dcuD_2~~~dcuD_3,dcuD_1;dcuD_2;dcuD_3,Putative cryptic C4-dicarboxylate transporter DcuD,,,,AMGBDAFE_01902,,,GCKDAGAE_01596,,,HCNBPFHJ_01528,,,,PAGOGBDJ_01946,
group_847,,hypothetical protein,OKNGDJCJ_01873,GFDNPGNJ_00522,,,KOCEJNFM_01901,,,,,,,AEMNHECO_01872,,,
group_839,,hypothetical protein,OKNGDJCJ_00753,,,,KOCEJNFM_01096,,,PDIMPFPI_01135,,,,AEMNHECO_00753,,,
group_819,,hypothetical protein,OKNGDJCJ_00337,,,AMGBDAFE_00320,KOCEJNFM_01512,,,,,,,AEMNHECO_00337,,,
group_799,,hypothetical protein,,,BFBCFGIC_01299,,,POEAOIBB_01077,GCKDAGAE_00207,,,,,,,PAGOGBDJ_00522,
abgB_1~~~abgB_4,abgB_1;abgB_4,p-aminobenzoyl-glutamate hydrolase subunit B,,,,AMGBDAFE_01903,,,GCKDAGAE_01597,,,HCNBPFHJ_01529,,,,PAGOGBDJ_01947,
group_753,,hypothetical protein,OKNGDJCJ_01874,GFDNPGNJ_00523,,,KOCEJNFM_01900,,,,,,,AEMNHECO_01873,,,
group_747,,hypothetical protein,OKNGDJCJ_01887,GFDNPGNJ_00536,,,KOCEJNFM_01887,,,,,,,AEMNHECO_01886,,,
ribZ,ribZ,Riboflavin transporter RibZ,,GFDNPGNJ_00548,,,,,,PDIMPFPI_01920,,HCNBPFHJ_01547,,,,,LAOJDNKF_01946
group_695,,hypothetical protein,,,,AMGBDAFE_01354,,POEAOIBB_00532,GCKDAGAE_00795,,,,,,,PAGOGBDJ_01445,
iclR~~~kipR,iclR;kipR,Transcriptional repressor IclR;HTH-type transcriptional regulator KipR,,,,AMGBDAFE_01904,,,GCKDAGAE_01598,,,HCNBPFHJ_01530,,,,PAGOGBDJ_01948,
group_639,,hypothetical protein,OKNGDJCJ_01875,GFDNPGNJ_00524,,,KOCEJNFM_01899,,,,,,,AEMNHECO_01874,,,
group_620,,hypothetical protein,OKNGDJCJ_01888,GFDNPGNJ_00537,,,KOCEJNFM_01886,,,,,,,AEMNHECO_01887,,,
group_618,,hypothetical protein,,,,AMGBDAFE_01254,,POEAOIBB_01268,GCKDAGAE_00941,,,,,,,PAGOGBDJ_01342,
hisF_2~~~hisF,hisF_2;hisF,Imidazole glycerol phosphate synthase subunit HisF,,,,AMGBDAFE_00125,,POEAOIBB_00123,GCKDAGAE_01793,,,,,,,PAGOGBDJ_00129,
group_552,,hypothetical protein,,,,AMGBDAFE_00463,,POEAOIBB_00466,GCKDAGAE_00132,,,,,,,PAGOGBDJ_00451,
group_546,,hypothetical protein,OKNGDJCJ_00020,,,,KOCEJNFM_01829,,,,,,,AEMNHECO_00020,,,LAOJDNKF_00020
group_533,,hypothetical protein,,,,AMGBDAFE_01355,,POEAOIBB_00533,GCKDAGAE_00794,,,,,,,PAGOGBDJ_01444,
group_470,,hypothetical protein,,,,AMGBDAFE_00039,,POEAOIBB_00042,GCKDAGAE_01707,,,,,,,PAGOGBDJ_00037,
group_456,,hypothetical protein,OKNGDJCJ_01876,GFDNPGNJ_00525,,,KOCEJNFM_01898,,,,,,,AEMNHECO_01875,,,
group_428,,hypothetical protein,OKNGDJCJ_01889,GFDNPGNJ_00538,,,KOCEJNFM_01885,,,,,,,AEMNHECO_01888,,,
group_420,,hypothetical protein,OKNGDJCJ_01879,GFDNPGNJ_00528,,,KOCEJNFM_01895,,,,,,,AEMNHECO_01878,,,
cas1,cas1,CRISPR-associated endonuclease Cas1,OKNGDJCJ_01881,GFDNPGNJ_00530,,,KOCEJNFM_01893,,,,,,,AEMNHECO_01880,,,
group_336,,hypothetical protein,OKNGDJCJ_00019,,,,KOCEJNFM_01830,,,,,,,AEMNHECO_00019,,,LAOJDNKF_00019
prn_2~~~prn_3,prn_2;prn_3,Pertactin autotransporter,,,,AMGBDAFE_00038,,POEAOIBB_00041,GCKDAGAE_01706,,,,,,,PAGOGBDJ_00036,
group_198,,hypothetical protein,OKNGDJCJ_01877,GFDNPGNJ_00526,,,KOCEJNFM_01897,,,,,,,AEMNHECO_01876,,,
cpxA,cpxA,Sensor histidine kinase CpxA,OKNGDJCJ_00186,,,,KOCEJNFM_01663,,,,,,BBFLPEJG_00186,AEMNHECO_00186,,,
group_174,,hypothetical protein,,,,,,POEAOIBB_01761,GCKDAGAE_01464,PDIMPFPI_01771,,HCNBPFHJ_01347,,,,,
group_161,,hypothetical protein,,,,AMGBDAFE_01918,,POEAOIBB_01896,GCKDAGAE_01618,,,,,,,PAGOGBDJ_01967,
cas6~~~cas6_2,;cas6;cas6_2,hypothetical protein;CRISPR-associated endoribonuclease Cas6,OKNGDJCJ_01891;OKNGDJCJ_01890,GFDNPGNJ_00539,,,KOCEJNFM_01884;KOCEJNFM_01883,,,,,,,AEMNHECO_01890;AEMNHECO_01889,,,
btaE_1,btaE_1,Autotransporter adhesin BtaE,,GFDNPGNJ_00612,,,,,,PDIMPFPI_01987,,HCNBPFHJ_01614,,,,,LAOJDNKF_00034
